Elemento,Coccion,T_desgrasante,Composicion,Densidad,Textura,Grosor₍mm),Tamaño(cm),Acabado_Interno,Acabado_Externo,Dureza,Color_Munsell,Ahumado,Tecnica,Elemento₁,Localizacion,Baño,Color_Baño,Engobe,Color_Engobe,Color_Eng _o_baño2
cuerpo,Reductora,Medio,"Cuarzo,máficos,félsicos,ferruginoso y mica",Mas desgrasante,Compacta,"7,00","3,00",Fino,Fino,Raya con la uña,5YR6/8,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,mica,máficos,félsicos y ferruginoso",Equilibrado,Compacta,"12,00","5,00",Fino,Fino,Raya con la uña,2.5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,mica,máficos,félsicos y ferruginoso",Equilibrado,Compacta,"8,00","3,00",Fino,Fino,Raya con la uña,2.5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,mica,máficos,félsicos y ferruginoso",Mas desgrasante,Compacta,"10,00","3,00",Erosionado,Erosionado,Dura,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,mica,máficos,félsicos y ferruginoso",Equilibrado,Compacta,"7,00","3,00",Erosionado,Fino,Raya con la uña,5YR5/6,No,Achurado cruzado,Linea,Externa,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,mica,máficos,félsicos y ferruginoso",Equilibrado,Compacta,"10,00","4,00",Fino,Fino,Dura,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Grueso,"Cuarzo,mica,máficos,félsicos y ferruginoso",Mas desgrasante,Compacta,"11,00","6,00",Burdo,Fino,Raya con la uña,5YR5/6,No,No,No,No,Externo,Rojo amarilloso,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos, mica,félsicos y ferruginoso",Mas desgrasante,Compacta,"5,00","3,00",Erosionado,Erosionado,Raya con la uña,5YR5/8,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"6,00","3,00",Erosionado,Erosionado,Raya con la uña,5YR5/8,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Medio,"Cuarzo,mica,máficos,félsicos y ferruginoso",Mas desgrasante,Compacta,"7,00","3,00",Fino,Fino,Raya con la uña,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"6,00","4,00",Fino,Fino,Dura,10YR3/1,Interno,Acanalada-punteada,Punto y linea,Externa,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,máficos,félsicos,ferruginoso y mica",Equilibrado,Compacta,"7,00","4,00",Pulido,Pulido,Raya con la uña,10YR6/4,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Grueso,"Cuarzo,mica,máficos,félsicos y ferruginoso",Mas desgrasante,Compacta,"13,00","5,00",Erosionado,Erosionado,Raya con la uña,5YR4/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Grueso,"Cuarzo,máficos,félsicos,ferruginoso y mica",Equilibrado,Compacta,"10,00","5,00",Fino,Fino,Raya con la uña,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Grueso,"Cuarzo,máficos,félsicos,ferruginoso y mica",Mas desgrasante,Compacta,"15,00","7,00",Erosionado,Erosionado,Raya con la uña,5YR6/4,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos,félsicos,ferruginoso",Equilibrado,Compacta,"5,00","4,00",Fino,Fino,Raya con la uña,5YR5/3,Extena,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos,félsicos,ferruginoso",Equilibrado,Compacta,"5,00","5,00",Fino,Fino,Raya con la uña,5YR5/3,Ambas,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,máficos,félsicos,ferruginoso",Equilibrado,Compacta,"8,00","2,00",Fino,Fino,Dura,5YR5/4,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,máficos,félsicos,ferruginoso",Equilibrado,Compacta,"7,00","3,00",Fino,Fino,Dura,5YR5/4,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,félsicos,máficos y mica",Equilibrado,Compacta,"6,00","3,00",Fino,Fino,Dura,75YR5/4,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos,félsicos,ferruginoso y mica",Equilibrado,Compacta,"6,00","3,00",Erosionado,Fino,Dura,10YR4/2,Extena,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos,félsicos,ferruginoso",Equilibrado,Compacta,"6,00","3,00",Erosionado,Pulido,Raya con la uña,10YR5/3,Interno,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,máficos,félsicos,ferruginoso y mica",Equilibrado,Compacta,"6,00","3,00",Erosionado,Erosionado,Raya con la uña,2.5YR5/8,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Grueso,"Cuarzo,máficos,félsicos,ferruginoso",Equilibrado,Compacta,"7,00","4,00",Erosionado,Erosionado,Raya con la uña,5YR57/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Grueso,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"7,00","5,00",Fino,Fino,Dura,75YR4/3,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,máficos,félsicos,ferruginoso",Equilibrado,Compacta,"11,00","5,00",Fino,Erosionado,Dura,75YR5/3,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,mica,máficos,félsicos y ferruginoso",Mas desgrasante,Compacta,"5,00","2,00",Fino,Fino,Raya con la uña,75YR5/3,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Grueso,"Cuarzo,máficos,félsicos,ferruginoso y mica",Equilibrado,Compacta,"6,00","3,00",Erosionado,Erosionado,Raya con la uña,75YR4/3,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"6,00","2,00",Erosionado,Erosionado,Raya con la uña,75YR4/3,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"6,00","3,00",Erosionado,Erosionado,Raya con la uña,75YR4/3,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,mica,máficos,félsicos y ferruginoso",Equilibrado,Compacta,"8,00","3,00",Fino,Fino,Dura,5YR4/4,Extena,No,No,No,No,No,No,No,No
cuerpo,Reductora,Grueso,"Cuarzo,félsicos,máficos y mica",Mas desgrasante,Compacta,"9,00","5,00",Erosionado,Erosionado,Raya con la uña,5YR5/8,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,mica,máficos,félsicos y ferruginoso",Mas desgrasante,Compacta,"6,00","3,00",Fino,Erosionado,Raya con la uña,5YR5/8,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,máficos,félsicos,ferruginoso y mica",Equilibrado,Compacta,"7,00","3,00",Fino,Erosionado,Raya con la uña,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,mica,máficos,félsicos y ferruginoso",Equilibrado,Compacta,"8,00","3,00",Fino,Fino,Dura,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Medio,"Cuarzo,máficos,félsicos,ferruginoso y mica",Mas desgrasante,Compacta,"10,00","3,00",Fino,Erosionado,Raya con la uña,5YR4/4,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos,félsicos,ferruginoso y mica",Equilibrado,Compacta,"7,00","3,00",Erosionado,Fino,Dura,75YR6/4,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,máficos,félsicos,ferruginoso y mica",Mas desgrasante,Compacta,"8,00","3,00",Fino,Fino,Dura,75YR5/4,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,mica,máficos,félsicos y ferruginoso",Equilibrado,Compacta,"10,00","3,00",Fino,Fino,Raya con la uña,5YR5/4,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Grueso,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"10,00","3,00",Erosionado,Erosionado,Raya con la uña,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Muy  fino,"Cuarzo,félsicos,máficos y mica",Equilibrado,Compacta,"5,00","3,00",Pulido,Pulido,Raya con la uña,75YR4/3,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos,félsicos,ferruginoso y mica",Equilibrado,Compacta,"8,00","5,00",Pulido,Pulido,Muy dura,2.5YR5/8,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Muy  fino,"Cuarzo,félsicos,máficos y mica",Equilibrado,Compacta,"5,00","3,00",Pulido,Pulido,Raya con la uña,75YR4/3,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Muy  fino,"Cuarzo,félsicos y máficos",Equilibrado,Compacta,"10,00","3,00",Pulido,Pulido,Raya con la uña,10YR6/4,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Muy  fino,"Cuarzo,félsicos y máficos",Equilibrado,Compacta,"10,00","4,00",Pulido,Pulido,Raya con la uña,10YR6/4,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Muy  fino,"Cuarzo,félsicos,máficos y mica",Equilibrado,Compacta,"7,00","4,00",Pulido,Pulido,Raya con la uña,75YR5/4,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,mica,máficos,félsicos y ferruginoso",Equilibrado,Compacta,"11,00","3,00",Pulido,Pulido,Dura,75YR4/3,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"6,00","2,00",Fino,Fino,Raya con la uña,75YR4/3,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"7,00","2,00",Erosionado,Erosionado,Raya con la uña,75YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,máficos,félsicos,ferruginoso y mica",Mas desgrasante,Compacta,"8,00","3,00",Erosionado,Erosionado,Raya con la uña,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Grueso,"Cuarzo,máficos,félsicos,ferruginoso y mica",Mas desgrasante,Compacta,"11,00","4,00",Erosionado,Burdo,Dura,5YR474,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,félsicos,máficos, ferruginoso y mica",Mas desgrasante,Compacta,"8,00","3,00",Fino,Erosionado,Raya con la uña,5YR4/4,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Muy  fino,"Cuarzo,félsicos,máficos y mica",Equilibrado,Compacta,"6,00","3,00",Erosionado,Pulido,Raya con la uña,10YR6/4,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"10,00","4,00",Fino,Fino,Raya con la uña,5YR576,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"4,00","4,00",Pulido,Pulido,Raya con la uña,10YR5/4,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Medio,"Cuarzo,mica,máficos,félsicos y ferruginoso",Equilibrado,Compacta,"8,00","5,00",Fino,Fino,Raya con la uña,2.5YR4/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"9,00","3,00",Erosionado,Fino,Raya con la uña,75YR5/4,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,mica,máficos,félsicos y ferruginoso",Equilibrado,Compacta,"7,00","3,00",Pulido,Fino,Raya con la uña,5YR4/3,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,máficos,félsicos,ferruginoso y mica",Equilibrado,Compacta,"5,00","3,00",Erosionado,Pulido,Dura,75YR4/3,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,félsicos,máficos, ferruginoso y mica",Mas desgrasante,Compacta,"6,00","2,00",Erosionado,Erosionado,Raya con la uña,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Muy  fino,"Cuarzo,félsicos,máficos y mica",Equilibrado,Compacta,"7,00","3,00",Erosionado,Pulido,Raya con la uña,10YR6/3,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos,félsicos,ferruginoso y mica",Equilibrado,Compacta,"11,00","4,00",Fino,Fino,Dura,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"10,00","3,00",Fino,Erosionado,Raya con la uña,75YR5/4,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,máficos,félsicos,ferruginoso y mica",Mas desgrasante,Compacta,"5,00","3,00",Erosionado,Erosionado,Raya con la uña,75YR5/4,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,félsicos,máficos y mica",Equilibrado,Compacta,"6,00","3,00",Fino,Fino,Raya con la uña,5YR5/4,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"7,00","2,00",Fino,Fino,Raya con la uña,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Grueso,"Cuarzo,félsicos y máficos",Mas desgrasante,Compacta,"7,00","4,00",Fino,Fino,Raya con la uña,75YR5/4,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"7,00","4,00",Fino,Erosionado,Dura,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Muy  fino,"Cuarzo,félsicos,máficos y mica",Equilibrado,Compacta,"7,00","4,00",Pulido,Pulido,Raya con la uña,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Muy  fino,"Cuarzo,máficos,félsicos,ferruginoso y mica",Equilibrado,Compacta,"5,00","2,00",Pulido,Pulido,Dura,75YR5/3,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,mica,máficos,félsicos y ferruginoso",Equilibrado,Compacta,"8,00","3,00",Pulido,Pulido,Raya con la uña,75YR5/4,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Grueso,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"7,00","4,00",Fino,Fino,Raya con la uña,75YR6/8,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Medio,"Cuarzo,máficos,félsicos,ferruginoso",Equilibrado,Compacta,"4,00","3,00",Erosionado,Erosionado,Raya con la uña,10YR5/2,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Medio,"Cuarzo,máficos,félsicos,ferruginoso",Equilibrado,Compacta,"7,00","7,00",Fino,Fino,Dura,10YR5/3,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Medio,"Cuarzo,máficos,félsicos,ferruginoso",Equilibrado,Compacta,"8,00","4,00",Fino,Fino,Dura,10YR5/3,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,máficos,félsicos,ferruginoso",Equilibrado,Compacta,"6,00","4,00",Fino,Fino,Dura,10YR4/3,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Medio,"Cuarzo,máficos,félsicos,ferruginoso",Equilibrado,Compacta,"6,00","3,00",Pulido,Pulido,Dura,75YR4/4,Extena,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,máficos,félsicos,ferruginoso",Equilibrado,Compacta,"7,00","2,00",Fino,Pulido,Dura,10YR5/3,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos,félsicos,ferruginoso",Equilibrado,Compacta,"7,00","3,00",Fino,Fino,Dura,75YR4/4,Interno,No,No,No,No,No,No,No,No
cuerpo,Reductora,Medio,"Cuarzo,máficos,félsicos,ferruginoso",Equilibrado,Compacta,"8,00","5,00",Fino,Fino,Dura,75YR4/4,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,máficos,félsicos,ferruginoso",Equilibrado,Compacta,"7,00","3,00",Fino,Fino,Dura,75YR4/4,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Medio,"Cuarzo,máficos,félsicos,ferruginoso",Equilibrado,Compacta,"8,00","4,00",Fino,Fino,Dura,75YR4/4,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,máficos,félsicos,ferruginoso",Equilibrado,Compacta,"8,00","3,00",Fino,Fino,Dura,75YR4/4,Interno,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,máficos,félsicos,ferruginoso",Equilibrado,Compacta,"6,00","3,00",Fino,Fino,Dura,75YR4/4,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,félsicos,máficos y mica",Equilibrado,Compacta,"8,00","3,00",Fino,Erosionado,Dura,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos,félsicos,ferruginoso",Equilibrado,Compacta,"6,00","3,00",Fino,Fino,Raya con la uña,5YR4/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Grueso,"Cuarzo,félsicos,máficos y mica",Mas desgrasante,Compacta,"7,00","2,00",Erosionado,Erosionado,Raya con la uña,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"7,00","3,00",Fino,Fino,Dura,75YR4/3,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Medio,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"8,00","4,00",Fino,Fino,Dura,5YR5/4,Interno,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"7,00","3,00",Fino,Fino,Dura,75YR4/4,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Grueso,"Cuarzo,félsicos y máficos",Mas desgrasante,Compacta,"7,00","3,00",Erosionado,Erosionado,Raya con la uña,5YR6/8,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"7,00","3,00",Fino,Fino,Raya con la uña,5YR6/8,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,félsicos y máficos",Equilibrado,Compacta,"10,00","3,00",Erosionado,Fino,Raya con la uña,5YR6/8,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"8,00","3,00",Erosionado,Pulido,Dura,75YR4/2,Interno,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"9,00","2,00",Fino,Fino,Dura,5YR4/4,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"7,00","3,00",Fino,Fino,Dura,75YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"9,00","3,00",Fino,Fino,Dura,5YR5/6,Interno,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,máficos,félsicos,ferruginoso y mica",Mas desgrasante,Compacta,"10,00","3,00",Fino,Fino,Raya con la uña,75YR5/4,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,mica,máficos,félsicos y ferruginoso",Mas desgrasante,Compacta,"9,00","3,00",Fino,Fino,Dura,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,máficos,félsicos,ferruginoso",Mas desgrasante,Compacta,"8,00","3,00",Fino,Erosionado,Dura,5YR5/8,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,mica,máficos,félsicos y ferruginoso",Mas desgrasante,Compacta,"7,00","2,00",Erosionado,Pulido,Raya con la uña,5YR5/4,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,mica,máficos,félsicos y ferruginoso",Mas desgrasante,Compacta,"7,00","4,00",Fino,Fino,Dura,5YR4/4,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,mica,máficos,félsicos y ferruginoso",Mas desgrasante,Compacta,"5,00","3,00",Fino,Fino,Dura,5YR4/8,Interno,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"8,00","3,00",Pulido,Pulido,Dura,75YR4/2,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Medio,"Cuarzo,máficos,félsicos,ferruginoso",Mas desgrasante,Compacta,"6,00","3,00",Erosionado,Erosionado,Dura,10YR6/2,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Medio,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"9,00","4,00",Erosionado,Fino,Dura,10YR472,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Grueso,"Cuarzo,máficos,félsicos,ferruginoso",Mas desgrasante,Compacta,"16,00","6,00",Fino,Fino,Dura,10YR5/3,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Grueso,"Cuarzo,félsicos y máficos",Mas desgrasante,Compacta,"14,00","3,00",Erosionado,Erosionado,Raya con la uña,5YR5/8,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Grueso,"Cuarzo,félsicos y máficos",Mas desgrasante,Compacta,"16,00","3,00",Erosionado,Erosionado,Raya con la uña,5YR5/8,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,félsicos y máficos",Equilibrado,Compacta,"10,00","4,00",Fino,Fino,Dura,75YR4/2,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,félsicos y máficos",Equilibrado,Compacta,"10,00","3,00",Fino,Fino,Dura,75YR4/2,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,félsicos y máficos",Equilibrado,Compacta,"10,00","3,00",Fino,Pulido,Dura,10YR7/4,Interno,Impresión,Puntos,Externa,No,No,No,No,No
